cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3167202,2,3,3208698,107386,2,18,3,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206710,107588,2,48,1,2,1,1,2,1,3,,,,4,1,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207146,109358,2,15,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208695,109510,1,14,3,4,1,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1344755,110890,2,37,1,4,1,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206614,111042,2,6,3,4,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1456505,111261,1,6,5,4,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207865,111940,2,34,1,4,1,1,2,1,3,,,,8,3,1,2,1,,4,1287,1,12,15444,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207401,111978,2,20,5,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1365707,112564,2,1,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1414199,113814,2,0,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1478321,115508,2,37,1,1,2,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207698,117612,1,23,3,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,1,5,4651,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206651,119113,2,64,1,4,,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,1335324,120461,1,26,2,4,2,2,2,1,3,,,,8,1,2,1,,2,1,170,1,1,170,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208058,122169,1,15,3,4,2,1,1,1,1,1,7,1,,,,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,3208746,122353,2,22,3,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1421525,122884,1,63,1,4,2,1,2,2,3,,,,4,2,2,1,,2,1,70,1,10,700,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1469320,124358,2,25,1,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,1,7,6160,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207549,124757,1,8,3,1,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,50,,550272476199873,563285963455599
3167202,2,3,1527659,125214,2,30,1,1,1,1,2,1,3,,,,5,6,2,1,,2,4,1072,1,12,12864,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207655,126306,1,67,2,1,2,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,3208199,127091,2,8,3,4,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,100,,550272476199873,563285963455599
3167202,2,3,3209087,127296,1,74,1,4,2,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,3209187,127548,2,6,3,4,1,1,2,2,1,1,5,2,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1373311,128031,2,13,3,4,2,1,2,1,1,1,5,7,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207477,128086,1,5,3,4,1,1,2,2,1,1,5,1,,,,,,,,,,,,,0,,100,,550272476199873,563285963455599
3167202,2,3,3209728,128337,2,19,1,4,1,1,2,1,3,,,,12,,,2,2,,,0,1,3,3117,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1375870,128842,2,14,3,2,2,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1400160,129712,2,45,1,4,2,1,1,1,3,,,,8,3,1,2,1,,1,100,1,6,600,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1373299,129780,2,51,1,4,2,1,1,1,3,,,,4,3,2,2,1,,1,30,1,12,360,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208893,131705,1,8,3,4,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3209098,131802,1,29,1,4,1,1,2,1,3,,,,8,3,2,1,,2,4,958,1,12,11496,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1470606,133024,2,8,3,1,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207301,133242,1,51,1,4,1,1,1,1,3,,,,4,3,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,3206737,133356,2,46,1,2,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3210119,133961,2,75,1,4,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,3208917,136165,1,15,3,4,2,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208944,136449,2,61,1,2,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207646,137487,2,44,7,1,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208184,137676,2,36,1,2,1,1,2,1,3,,,,13,,,1,,2,1,200,1,3,600,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1417796,138228,1,62,2,1,2,1,1,1,3,,,,6,4,2,2,2,,,0,2,,,0,1462,0,0,0,550272476199873,563285963455599
3167202,2,3,3209452,140267,2,3,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1330373,142058,2,47,1,1,2,1,2,1,3,,,,12,,,1,,2,4,1021,1,12,12252,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1543774,142254,1,49,2,1,2,1,2,1,3,,,,5,8,1,1,,2,1,200,1,1,200,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1350882,142647,1,19,2,4,,1,2,1,3,,,,8,3,1,1,,2,4,1238,1,12,14856,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209190,142857,1,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3208525,143110,2,5,3,4,1,1,2,1,1,1,5,2,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1353986,143337,1,10,3,4,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3209846,145479,1,0,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
